name_product,hydration
에뛰드_픽싱틴트_로즈라일락,1.5
에뛰드_픽싱틴트_로즈블렌딩,1.833333333
에뛰드_픽싱틴트_미드나잇모브,2.142857143
에뛰드_픽싱틴트_바인핑크,1.75
에뛰드_픽싱틴트_베이크드피칸,1.9
에뛰드_픽싱틴트_우디핑크,2
에뛰드_픽싱틴트_코랄브리즈,1.75
에뛰드_픽싱틴트_쿨핑온탑,1.814814815
에뛰드_픽싱틴트_크랜베리플럼,2.1
에뛰드_픽싱틴트_핑크스프링클,1.571428571
에뛰드_픽싱틴트_핑크피그,2.4
오에니르_듀잇틴트_돌체크림,2.888888889
오에니르_듀잇틴트_러브모어,3
오에니르_듀잇틴트_모브누드,2.857142857
오에니르_듀잇틴트_살구베이비,2.8
오에니르_듀잇틴트_코코버디,3
오에니르_듀잇틴트_페어리윙크,2.8
오에니르_아워글로우립_루티나,2.6
오에니르_아워글로우립_멜로우,2.736842105
오에니르_아워글로우립_윈디아,2.5
오에니르_아워글로우립_칠리쉬,2.666666667
오에니르_아워글로우립_토스티,2.764705882
오에니르_아워글로우립_플러밍,2.5
웨이크메이크_워터블러링픽싱틴트_레드체크아웃,2.5
웨이크메이크_워터블러링픽싱틴트_모비쉬핑크,2
웨이크메이크_워터블러링픽싱틴트_뮤트어페어,1.4
웨이크메이크_워터블러링픽싱틴트_베리피즈,1.5
웨이크메이크_워터블러링픽싱틴트_빈노이즈,1.8
웨이크메이크_워터블러링픽싱틴트_소프트브릭,2
웨이크메이크_워터블러링픽싱틴트_스프링라이크핑크,1.8
웨이크메이크_워터블러링픽싱틴트_썬사이드플롯,2.25
웨이크메이크_워터블러링픽싱틴트_썬필터드,2.142857143
웨이크메이크_워터블러링픽싱틴트_어텀뮬리,1.909090909
웨이크메이크_워터블러링픽싱틴트_오리엔탈루비,1.733333333
웨이크메이크_워터블러링픽싱틴트_오션핑크,1.5
웨이크메이크_워터블러링픽싱틴트_젠틀브릭,2.333333333
웨이크메이크_워터블러링픽싱틴트_탠드저린,2
웨이크메이크_워터블러링픽싱틴트_텐더모브,2.25
웨이크메이크_워터블러링픽싱틴트_페탈드,1.777777778
웨이크메이크_워터블러링픽싱틴트_피그블룸,1.866666667
웨이크메이크_워터블러링픽싱틴트_피그올로지,1.875
웨이크메이크_워터블러링픽싱틴트_피치비치,2
웨이크메이크_워터블러링픽싱틴트_핑크미터,1.772727273
웨이크메이크_워터블러링픽싱틴트_핑크하이웨이,2.333333333
코스노리_워터블러리틴트_러브페어링,2.833333333
코스노리_워터블러리틴트_로즈두,2.846153846
코스노리_워터블러리틴트_리저브무드,2.625
코스노리_워터블러리틴트_빈티지모브,2.571428571
코스노리_워터블러리틴트_오브마티니,1.9
키보_도톰립플러스립플럼퍼_그레이프콕,2.5
키보_도톰립플러스립플럼퍼_무화과스무디,2
키보_도톰립플러스립플럼퍼_스르핑글래스,3
키보_도톰립플러스립플럼퍼_스프링글래스,2.833333333
키보_도톰립플러스립플럼퍼_스프링글리터,3
키보_도톰립플러스립플럼퍼_스프링달링,2.5
키보_도톰립플러스립플럼퍼_앵두쨈,3
