File Name,Saturation
데이지크_쥬시듀이틴트_피그플럼.png,53.0
데이지크_쥬시듀이틴트_피치크러쉬.png,70.0
데이지크_쥬시듀이틴트_피치푸딩.png,48.0
데이지크_쥬시듀이틴트_핑크구아바.png,65.0
데이지크_크림드버터틴트_모브크림.png,44.0
데이지크_크림드버터틴트_솔티드버터.png,50.0
데이지크_크림드버터틴트_카라멜브릭.png,59.0
데이지크_크림드버터틴트_코튼플럼.png,54.0
데이지크_프루티립잼_감귤잼.png,64.0
데이지크_프루티립잼_딸기잼.png,55.0
데이지크_프루티립잼_라즈베리잼.png,52.0
데이지크_프루티립잼_리치잼.png,46.0
데이지크_프루티립잼_무화과잼.png,54.0
데이지크_프루티립잼_복숭아잼.png,35.0
데이지크_프루티립잼_애프리콧잼.png,44.0
데이지크_프루티립잼_애플잼.png,75.0
데이지크_프루티립잼_자두잼.png,67.0
데이지크_프루티립잼_쥬쥬브잼.png,42.0
데이지크_프루티립잼_체리잼.png,68.0
데이지크_프루티립잼_캐슈넛잼.png,42.0
데이지크_프루티립잼_크랜베리잼.png,51.0
딘토_브론테멜팅글로우립밤_곤달.png,64.0
딘토_브론테멜팅글로우립밤_브랜웰.png,40.0
딘토_브론테멜팅글로우립밤_빌레트.png,52.0
딘토_브론테멜팅글로우립밤_샬롯.png,37.0
딘토_브론테멜팅글로우립밤_아그네스그레이.png,45.0
딘토_브론테멜팅글로우립밤_앙그리아.png,37.0
딘토_브론테멜팅글로우립밤_앤.png,50.0
딘토_브론테멜팅글로우립밤_에밀리.png,47.0
딘토_브론테멜팅글로우립밤_워더링하이츠.png,65.0
딘토_블러글로이립틴트_그라티아.png,59.0
딘토_블러글로이립틴트_노빌리타스.png,35.0
딘토_블러글로이립틴트_데오볼렌테.png,59.0
딘토_블러글로이립틴트_디비니타스.png,56.0
딘토_블러글로이립틴트_레베렌티아.png,54.0
딘토_블러글로이립틴트_리베르타스.png,41.0
딘토_블러글로이립틴트_메멘토모리.png,65.0
딘토_블러글로이립틴트_모데스티아.png,34.0
딘토_블러글로이립틴트_무니아.png,60.0
딘토_블러글로이립틴트_베누스.png,42.0
딘토_블러글로이립틴트_베니아.png,42.0
딘토_블러글로이립틴트_보눔.png,100.0
딘토_블러글로이립틴트_소피아.png,51.0
딘토_블러글로이립틴트_아베마리아.png,33.0
딘토_블러글로이립틴트_유스티티아.png,42.0
딘토_블러글로이립틴트_코르.png,56.0
딘토_블러글로이립틴트_팍스.png,73.0
딘토_블러글로이립틴트_팍스로마나.png,36.0
딘토_블러글로이립틴트_피데스.png,62.0
딘토_블러글로이립틴트_피덴티아.png,60.0
라카_본딩글로우립스틱_뎁스.png,65.0
라카_본딩글로우립스틱_리리.png,46.0
라카_본딩글로우립스틱_마크.png,54.0
라카_본딩글로우립스틱_멀드.png,57.0
라카_본딩글로우립스틱_미로.png,48.0
라카_본딩글로우립스틱_포쉬.png,83.0
라카_젤링누드글로스_복숭아링.png,48.0
라카_젤링누드글로스_엔젤링.png,37.0
라카_젤링누드글로스_포도링.png,51.0
라카_젤링누드글로스_피그링.png,49.0
라카_프루티글램틴트_듀이.png,59.0
라카_프루티글램틴트_어도어.png,69.0
라카_프루티글램틴트_엔비.png,93.0
라카_프루티글램틴트_조이풀.png,58.0
라카_프루티글램틴트_체리.png,84.0
라카_프루티글램틴트_카페인로즈.png,92.0
라카_프루티글램틴트_캔디드.png,98.0
라카_프루티글램틴트_콜드.png,66.0
레미유_듀이플로우틴트_다운로즈.png,55.0
레미유_듀이플로우틴트_뮤트코랄.png,54.0
레미유_듀이플로우틴트_브링러브.png,75.0
레미유_듀이플로우틴트_슈어쉬어.png,42.0
레미유_듀이플로우틴트_츄잇추.png,82.0
레미유_듀이플로우틴트_칠링모브.png,50.0
레미유_듀이플로우틴트_쿠키드롭.png,82.0
레미유_듀이플로우틴트_플레저.png,76.0
레미유_듀이플로우틴트_피치뮬리.png,62.0
레미유_듀이플로우틴트_핑크브리즈.png,48.0
레미유_듀이플로우틴트_허니릿.png,61.0
레미유_모이스트립블러_데이드림.png,58.0
레미유_모이스트립블러_로즐리.png,61.0
레미유_모이스트립블러_멜로우.png,54.0
레미유_모이스트립블러_써니코랄.png,63.0
레미유_모이스트립블러_어도러블.png,48.0
레미유_모이스트립블러_업텐션.png,81.0
레미유_코튼플러피틴트_더스티모브.png,53.0
레미유_코튼플러피틴트_번트브라운.png,51.0
레미유_코튼플러피틴트_빈티지로즈.png,41.0
레미유_코튼플러피틴트_솔티드베이지.png,49.0
레미유_코튼플러피틴트_페이디드레드.png,57.0
롬앤_글래스팅멜팅밤_누가샌드.png,57.0
롬앤_글래스팅멜팅밤_누베이지.png,50.0
롬앤_글래스팅멜팅밤_디어애플.png,58.0
롬앤_글래스팅멜팅밤_러비핑크.png,69.0
롬앤_글래스팅멜팅밤_모브휩.png,57.0
롬앤_글래스팅멜팅밤_버피코랄.png,51.0
롬앤_글래스팅멜팅밤_베일드로즈.png,46.0
롬앤_글래스팅멜팅밤_소르베밤.png,66.0
롬앤_글래스팅멜팅밤_스카치누드.png,55.0
롬앤_글래스팅멜팅밤_카야피그.png,56.0
롬앤_글래스팅멜팅밤_코랄리아.png,68.0
롬앤_글래스팅멜팅밤_코코누드.png,54.0
롬앤_글래스팅멜팅밤_피오니즈.png,60.0
롬앤_글래스팅멜팅밤_피칸브루.png,68.0
롬앤_글래스팅멜팅밤_히피베리.png,81.0
롬앤_글래스팅워터틴트_누디선다운.png,56.0
롬앤_글래스팅워터틴트_레드드롭.png,85.0
롬앤_글래스팅워터틴트_로즈스플래쉬.png,72.0
롬앤_글래스팅워터틴트_모브문.png,47.0
롬앤_글래스팅워터틴트_브릭리버.png,76.0
롬앤_글래스팅워터틴트_빈티지오션.png,81.0
롬앤_글래스팅워터틴트_우디선셋.png,63.0
롬앤_글래스팅워터틴트_피그라이즈.png,63.0
롬앤_글래스팅컬러글로스_그레이피웨이.png,52.0
롬앤_글래스팅컬러글로스_너티베이그.png,42.0
롬앤_글래스팅컬러글로스_디픈무어.png,49.0
롬앤_글래스팅컬러글로스_딤모브.png,45.0
롬앤_글래스팅컬러글로스_로즈핀치.png,53.0
롬앤_글래스팅컬러글로스_스프링피버.png,75.0
롬앤_글래스팅컬러글로스_체리업.png,79.0
롬앤_글래스팅컬러글로스_피오니발레.png,26.0
롬앤_듀이풀워터틴트_라일락크림.png,51.0
롬앤_듀이풀워터틴트_머머핑크.png,61.0
롬앤_듀이풀워터틴트_베리디바인.png,76.0
롬앤_듀이풀워터틴트_솔티피치.png,63.0
롬앤_듀이풀워터틴트_이프로즈.png,61.0
롬앤_듀이풀워터틴트_인코랄.png,71.0
롬앤_듀이풀워터틴트_체리웨이.png,81.0
롬앤_듀이풀워터틴트_칠리업.png,73.0
롬앤_듀이풀워터틴트_캐니언.png,52.0
롬앤_듀이풀워터틴트_커스터드모브.png,49.0
롬앤_듀이풀워터틴트_코튼멜바.png,58.0
롬앤_듀이풀워터틴트_태피.png,79.0
롬앤_듀이풀워터틴트_툴리안.png,67.0
롬앤_블러퍼지틴트_라드우드.png,50.0
롬앤_블러퍼지틴트_로지엔탈.png,58.0
롬앤_블러퍼지틴트_머스키.png,61.0
롬앤_블러퍼지틴트_모비쉬.png,50.0
롬앤_블러퍼지틴트_베리피즈.png,58.0
롬앤_블러퍼지틴트_비비캔디.png,65.0
롬앤_블러퍼지틴트_언로즈.png,61.0
롬앤_블러퍼지틴트_웜밍업.png,52.0
롬앤_블러퍼지틴트_커런트잼.png,57.0
롬앤_블러퍼지틴트_코랄쥬빌레.png,69.0
롬앤_블러퍼지틴트_쿨로즈업.png,57.0
롬앤_블러퍼지틴트_쿨링업.png,48.0
롬앤_블러퍼지틴트_퍼지레드.png,74.0
롬앤_블러퍼지틴트_포멜로코.png,58.0
롬앤_블러퍼지틴트_푸시아바이브.png,74.0
롬앤_제로매트립스틱_대즐레드.png,78.0
롬앤_제로매트립스틱_더스티핑크.png,54.0
롬앤_제로매트립스틱_레드다이브.png,84.0
롬앤_제로매트립스틱_레드서퍼.png,91.0
롬앤_제로매트립스틱_레드카펫.png,84.0
롬앤_제로매트립스틱_레드히트.png,80.0
롬앤_제로매트립스틱_모브빈즈.png,47.0
롬앤_제로매트립스틱_미드나잇.png,74.0
롬앤_제로매트립스틱_비포선셋.png,62.0
롬앤_제로매트립스틱_선라이트.png,85.0
롬앤_제로매트립스틱_쉘누드.png,48.0
롬앤_제로매트립스틱_스모크드베이즈.png,51.0
롬앤_제로매트립스틱_스윗피.png,73.0
롬앤_제로매트립스틱_실루엣.png,64.0
롬앤_제로매트립스틱_썸띵.png,77.0
롬앤_제로매트립스틱_어도러블.png,63.0
롬앤_제로매트립스틱_어썸.png,63.0
롬앤_제로매트립스틱_엔비미.png,53.0
롬앤_제로매트립스틱_올댓재즈.png,74.0
롬앤_제로매트립스틱_이브닝.png,67.0
롬앤_제로매트립스틱_태닝레드.png,76.0
롬앤_제로매트립스틱_핑크샌드.png,46.0
롬앤_제로벨벳틴트_그레인누드.png,61.0
롬앤_제로벨벳틴트_너드핑크.png,58.0
롬앤_제로벨벳틴트_딥소울.png,63.0
롬앤_제로벨벳틴트_러스크러스크.png,68.0
롬앤_제로벨벳틴트_버니누드.png,54.0
롬앤_제로벨벳틴트_번트하트.png,50.0
롬앤_제로벨벳틴트_베리니트.png,54.0
롬앤_제로벨벳틴트_베리케이크.png,72.0
롬앤_제로벨벳틴트_빈티지토프.png,58.0
롬앤_제로벨벳틴트_빌런베스트.png,73.0
롬앤_제로벨벳틴트_아이시.png,57.0
롬앤_제로벨벳틴트_앤셜리.png,84.0
롬앤_제로벨벳틴트_얼그레이숄.png,57.0
롬앤_제로벨벳틴트_위티.png,60.0
롬앤_제로벨벳틴트_조이풀.png,76.0
롬앤_제로벨벳틴트_토스티누드.png,58.0
롬앤_제로벨벳틴트_펄시레드.png,94.0
롬앤_제로벨벳틴트_페이드레드.png,74.0
롬앤_제로벨벳틴트_페탈테슬.png,50.0
롬앤_제로벨벳틴트_피즈.png,93.0
롬앤_제로벨벳틴트_피칸타르트.png,66.0
롬앤_쥬시래스팅틴트_누디피넛.png,55.0
롬앤_쥬시래스팅틴트_누카다미아.png,54.0
롬앤_쥬시래스팅틴트_다크 코코넛.png,65.0
롬앤_쥬시래스팅틴트_리치코랄.png,55.0
롬앤_쥬시래스팅틴트_멀드피치.png,52.0
롬앤_쥬시래스팅틴트_멜로우페어.png,38.0
롬앤_쥬시래스팅틴트_베리베리핑크.png,79.0
롬앤_쥬시래스팅틴트_베어그레이프.png,58.0
롬앤_쥬시래스팅틴트_베어바인.png,37.0
롬앤_쥬시래스팅틴트_베어베리스무디.png,37.0
롬앤_쥬시래스팅틴트_베어애프리콧.png,31.0
롬앤_쥬시래스팅틴트_베어피그.png,57.0
롬앤_쥬시래스팅틴트_브리즈피그.png,40.0
롬앤_쥬시래스팅틴트_아몬드 로즈.png,57.0
롬앤_쥬시래스팅틴트_애플브라운.png,84.0
롬앤_쥬시래스팅틴트_오드그레이프.png,34.0
롬앤_쥬시래스팅틴트_잇도토리.png,84.0
롬앤_쥬시래스팅틴트_쥬쥬브.png,70.0
롬앤_쥬시래스팅틴트_체리밤.png,86.0
롬앤_쥬시래스팅틴트_코니소다.png,88.0
롬앤_쥬시래스팅틴트_파파야잼.png,67.0
롬앤_쥬시래스팅틴트_포멜로스킨.png,57.0
롬앤_쥬시래스팅틴트_플럼콕.png,100.0
롬앤_쥬시래스팅틴트_피그피그.png,71.0
롬앤_쥬시래스팅틴트_필링앵두.png,64.0
롬앤_쥬시래스팅틴트_핑크 팝시클.png,93.0
롬앤_쥬시래스팅틴트_핑크펌킨.png,60.0
릴리바이레드_글래시레이어픽싱틴트_디어모브.png,57.0
릴리바이레드_글래시레이어픽싱틴트_로지누드.png,50.0
릴리바이레드_글래시레이어픽싱틴트_로지로즈.png,63.0
릴리바이레드_글래시레이어픽싱틴트_머스캣샤워.png,45.0
릴리바이레드_글래시레이어픽싱틴트_슬러시드핑크.png,47.0
릴리바이레드_글래시레이어픽싱틴트_치키피치.png,65.0
릴리바이레드_글래시레이어픽싱틴트_콜드베리.png,91.0
릴리바이레드_글래시레이어픽싱틴트_킬미플럼.png,77.0
릴리바이레드_글래시레이어픽싱틴트_핑크리시브.png,50.0
릴리바이레드_글래시레이어픽싱틴트_핑크스파이크.png,63.0
릴리바이레드_무드라이어벨벳틴트_무덤덤한무화과인척.png,73.0
릴리바이레드_무드라이어벨벳틴트_순수한사과인척.png,100.0
릴리바이레드_무드라이어벨벳틴트_시니컬한블루베리인척.png,89.0
릴리바이레드_무드라이어벨벳틴트_우아한산딸기인척.png,76.0
릴리바이레드_무드라이어벨벳틴트_자비없는포도인척.png,71.0
릴리바이레드_무드라이어벨벳틴트_치명적인석류인척.png,83.0
릴리바이레드_앙큼라이어코팅틴트_굳센버찌인척.png,71.0
릴리바이레드_앙큼라이어코팅틴트_끼많은복숭아인척.png,65.0
릴리바이레드_앙큼라이어코팅틴트_당당한방토인척.png,80.0
릴리바이레드_앙큼라이어코팅틴트_맹랑한체리인척.png,89.0
릴리바이레드_앙큼라이어코팅틴트_무심한무화과인척.png,59.0
릴리바이레드_앙큼라이어코팅틴트_발그레한딸기인척.png,69.0
릴리바이레드_앙큼라이어코팅틴트_센치한리치인척.png,50.0
릴리바이레드_앙큼라이어코팅틴트_수줍은복숭아인척.png,75.0
릴리바이레드_앙큼라이어코팅틴트_쌉쌀한포도츄잉껌인척.png,44.0
릴리바이레드_앙큼라이어코팅틴트_톡쏘는포도풍선껌인척.png,75.0
릴리바이레드_쥬시라이어워터틴트_구아바모히토인척.png,100.0
릴리바이레드_쥬시라이어워터틴트_리치샹그리아인척.png,94.0
릴리바이레드_쥬시라이어워터틴트_블랙베리데낄라인척.png,100.0
릴리바이레드_쥬시라이어워터틴트_오렌지마가리타인척.png,100.0
릴리바이레드_쥬시라이어워터틴트_체리크러쉬인척.png,100.0
릴리바이레드_쥬시라이어워터틴트_플럼마티니인척.png,100.0
릴리바이레드_쥬시라이어워터틴트_핑크레몬피즈인척.png,100.0
릴리바이레드_쥬시라이어워터틴트_핑크커런트펀치인척 (2).png,75.0
릴리바이레드_탱글젤리밤_리치젤리한입.png,48.0
릴리바이레드_탱글젤리밤_복숭아젤리한입.png,81.0
릴리바이레드_탱글젤리밤_사과젤리한입.png,56.0
릴리바이레드_탱글젤리밤_살구젤리한입.png,65.0
릴리바이레드_탱글젤리밤_자두젤리한입.png,82.0
릴리바이레드_탱글젤리밤_타로젤리한입.png,59.0
릴리바이레드_탱글젤리밤_포도젤리한입.png,69.0
맥_글로우플레이립밤_루즈어웨이크닝.png,81.0
맥_글로우플레이립밤_스위트트리트.png,47.0
맥_글로우플레이립밤_플로랄코랄.png,64.0
맥_락드키스잉크24아워_것시.png,86.0
맥_락드키스잉크24아워_그레이셔스.png,65.0
맥_락드키스잉크24아워_데카던스.png,63.0
맥_락드키스잉크24아워_도옌.png,78.0
맥_락드키스잉크24아워_루비트루.png,75.0
맥_락드키스잉크24아워_멀잇오버앤오버.png,65.0
맥_락드키스잉크24아워_모스트큐리어스.png,71.0
맥_락드키스잉크24아워_보데이셔스.png,55.0
맥_락드키스잉크24아워_비셔스.png,78.0
맥_락드키스잉크24아워_엑스트라칠리.png,87.0
맥_락드키스잉크24아워_하이퍼볼리.png,68.0
맥_러스터글래스립스틱_노포토스.png,64.0
맥_러스터글래스립스틱_레이디버그.png,73.0
맥_러스터글래스립스틱_로컬셀럽.png,72.0
맥_러스터글래스립스틱_비지니스캐주얼.png,63.0
맥_러스터글래스립스틱_셀아웃.png,44.0
맥_러스터글래스립스틱_씨쉬어.png,59.0
맥_러스터글래스립스틱_오구디.png,55.0
맥_러스터글래스립스틱_코크니.png,74.0
맥_러스터글래스립스틱_티엔티저.png,77.0
맥_러스터글래스립스틱_프렌다.png,53.0
맥_러스터글래스립스틱_플러스터드.png,73.0
맥_러스터글래스립스틱_피그먼트오브유어이매지네이.png,55.0
맥_러스터글래스립스틱_피디에이.png,73.0
맥_러스터글래스립스틱_허그미.png,44.0
맥_립스틱_겟더힌트.png,48.0
맥_립스틱_더즌카네이션.png,77.0
맥_립스틱_데어유.png,76.0
맥_립스틱_데인저러스.png,80.0
맥_립스틱_듀보넷.png,76.0
맥_립스틱_디바.png,74.0
맥_립스틱_디포데인저.png,64.0
맥_립스틱_러시안레드.png,72.0
맥_립스틱_런웨이히트.png,57.0
맥_립스틱_레드락.png,85.0
맥_립스틱_레이디데인저.png,74.0
맥_립스틱_루비우.png,71.0
맥_립스틱_릴렌트리슬리레드.png,74.0
맥_립스틱_마라케쉬.png,69.0
맥_립스틱_맥레드.png,82.0
맥_립스틱_맹그로브.png,84.0
맥_립스틱_모란지.png,78.0
맥_립스틱_모카.png,64.0
맥_립스틱_베가스볼트.png,62.0
맥_립스틱_벨벳테디.png,51.0
맥_립스틱_브레이브레드.png,74.0
맥_립스틱_브릭오라.png,56.0
맥_립스틱_생제르망.png,51.0
맥_립스틱_스놉.png,45.0
맥_립스틱_스시키스.png,54.0
맥_립스틱_스위트사쿠라.png,76.0
맥_립스틱_스필더티.png,66.0
맥_립스틱_쏘쇼드.png,72.0
맥_립스틱_올파이어드업.png,73.0
