File Name,Color Index,Red,Green,Blue,Proportion
데이지크_멜팅캔디밤_슈가플럼.png,1,235,73,106,100.00%
데이지크_멜팅캔디밤_스윗포멜로.png,1,253,97,89,66.25%
데이지크_멜팅캔디밤_스윗포멜로.png,2,253,93,87,33.75%
데이지크_멜팅캔디밤_애플시나몬.png,1,212,74,61,100.00%
데이지크_멜팅캔디밤_젠틀피치.png,1,241,102,88,70.45%
데이지크_멜팅캔디밤_젠틀피치.png,2,237,96,85,29.55%
데이지크_멜팅캔디밤_체리피즈.png,1,251,85,122,77.75%
데이지크_멜팅캔디밤_체리피즈.png,2,253,93,131,22.25%
데이지크_멜팅캔디밤_캔디소다.png,1,255,81,106,100.00%
데이지크_멜팅캔디밤_크랜베리휩.png,1,233,71,103,100.00%
데이지크_무드글로우립스틱_누드펌킨.png,1,214,110,92,94.98%
데이지크_무드글로우립스틱_누드펌킨.png,2,209,104,85,5.00%
데이지크_무드글로우립스틱_누드펌킨.png,3,224,172,163,0.02%
데이지크_무드글로우립스틱_로즈힙.png,1,219,105,101,72.10%
데이지크_무드글로우립스틱_로즈힙.png,2,219,102,100,27.77%
데이지크_무드글로우립스틱_로즈힙.png,3,219,121,126,0.13%
데이지크_무드글로우립스틱_멜로우코랄.png,1,236,116,106,99.41%
데이지크_무드글로우립스틱_멜로우코랄.png,2,240,159,151,0.30%
데이지크_무드글로우립스틱_멜로우코랄.png,3,233,95,91,0.28%
데이지크_무드글로우립스틱_베이비살몬.png,1,238,153,136,99.51%
데이지크_무드글로우립스틱_베이비살몬.png,2,239,162,145,0.49%
데이지크_무드글로우립스틱_체리드롭.png,1,228,78,86,96.99%
데이지크_무드글로우립스틱_체리드롭.png,2,233,116,129,2.77%
데이지크_무드글로우립스틱_체리드롭.png,3,236,156,181,0.24%
데이지크_무드글로우립스틱_크림샌드.png,1,214,116,106,84.23%
데이지크_무드글로우립스틱_크림샌드.png,2,203,98,91,15.77%
데이지크_무드글로우립스틱_피치스.png,1,219,99,81,92.84%
데이지크_무드글로우립스틱_피치스.png,2,227,107,82,7.16%
데이지크_무드글로우립스틱_핑크베리.png,1,232,113,136,99.20%
데이지크_무드글로우립스틱_핑크베리.png,2,213,87,113,0.58%
데이지크_무드글로우립스틱_핑크베리.png,3,236,153,178,0.22%
데이지크_워터블러틴트_라벤더크림.png,1,190,91,118,100.00%
데이지크_워터블러틴트_로지코랄.png,1,205,101,102,94.74%
데이지크_워터블러틴트_로지코랄.png,2,210,106,107,5.26%
데이지크_워터블러틴트_리치피치.png,1,218,104,104,65.32%
데이지크_워터블러틴트_리치피치.png,2,215,103,103,30.28%
데이지크_워터블러틴트_리치피치.png,3,213,101,102,4.40%
데이지크_워터블러틴트_베리베리.png,1,192,79,120,100.00%
데이지크_워터블러틴트_베리에이드.png,1,235,85,148,98.71%
데이지크_워터블러틴트_베리에이드.png,2,236,94,154,1.29%
데이지크_워터블러틴트_스위모브.png,1,172,79,96,98.01%
데이지크_워터블러틴트_스위모브.png,2,174,81,98,1.99%
데이지크_워터블러틴트_저스트피치.png,1,225,116,100,100.00%
데이지크_워터블러틴트_칠링.png,1,172,46,83,100.00%
데이지크_워터블러틴트_피치듀.png,1,239,140,120,100.00%
데이지크_워터블러틴트_피치에이드.png,1,195,103,102,60.95%
데이지크_워터블러틴트_피치에이드.png,2,205,110,109,39.05%
데이지크_쥬시듀이틴트_러브코랄.png,1,239,123,108,100.00%
데이지크_쥬시듀이틴트_로즈애플.png,1,214,67,82,100.00%
데이지크_쥬시듀이틴트_멜론샤벳.png,1,245,97,99,70.88%
데이지크_쥬시듀이틴트_멜론샤벳.png,2,244,93,97,25.19%
데이지크_쥬시듀이틴트_멜론샤벳.png,3,246,99,99,3.93%
데이지크_쥬시듀이틴트_모브무드.png,1,203,103,108,83.80%
데이지크_쥬시듀이틴트_모브무드.png,2,206,108,113,16.20%
데이지크_쥬시듀이틴트_모브베리.png,1,233,70,99,100.00%
데이지크_쥬시듀이틴트_무드망고.png,1,246,134,115,100.00%
데이지크_쥬시듀이틴트_베리슈.png,1,232,123,156,100.00%
데이지크_쥬시듀이틴트_베어누드.png,1,195,97,82,94.08%
데이지크_쥬시듀이틴트_베어누드.png,2,174,81,65,5.92%
데이지크_쥬시듀이틴트_스위티핑크.png,1,223,94,115,96.46%
데이지크_쥬시듀이틴트_스위티핑크.png,2,225,100,121,3.54%
데이지크_쥬시듀이틴트_스윗마롱.png,1,237,113,108,100.00%
데이지크_쥬시듀이틴트_오렌지콕.png,1,250,112,89,98.68%
데이지크_쥬시듀이틴트_오렌지콕.png,2,246,93,75,1.32%
데이지크_쥬시듀이틴트_체리소다.png,1,233,65,90,100.00%
데이지크_쥬시듀이틴트_칠리셔벗.png,1,231,88,79,88.46%
데이지크_쥬시듀이틴트_칠리셔벗.png,2,240,100,87,11.50%
데이지크_쥬시듀이틴트_칠리셔벗.png,3,198,65,56,0.03%
데이지크_쥬시듀이틴트_코랄피즈.png,1,249,100,96,100.00%
데이지크_쥬시듀이틴트_파파야밀크.png,1,240,134,129,100.00%
데이지크_쥬시듀이틴트_플럼듀.png,1,222,25,80,84.26%
데이지크_쥬시듀이틴트_플럼듀.png,2,229,32,89,15.74%
데이지크_쥬시듀이틴트_피그베리.png,1,236,94,105,82.48%
데이지크_쥬시듀이틴트_피그베리.png,2,240,99,109,17.52%
데이지크_쥬시듀이틴트_피그플럼.png,1,194,91,122,100.00%
데이지크_쥬시듀이틴트_피치크러쉬.png,1,250,75,90,99.90%
데이지크_쥬시듀이틴트_피치크러쉬.png,2,207,42,57,0.10%
데이지크_쥬시듀이틴트_피치푸딩.png,1,238,123,128,100.00%
데이지크_쥬시듀이틴트_핑크구아바.png,1,248,86,123,94.18%
데이지크_쥬시듀이틴트_핑크구아바.png,2,249,94,131,5.82%
데이지크_크림드버터틴트_모브크림.png,1,215,120,125,100.00%
데이지크_크림드버터틴트_솔티드버터.png,1,208,110,104,96.58%
데이지크_크림드버터틴트_솔티드버터.png,2,203,107,102,3.42%
데이지크_크림드버터틴트_카라멜브릭.png,1,179,86,73,76.74%
데이지크_크림드버터틴트_카라멜브릭.png,2,181,87,74,23.26%
데이지크_크림드버터틴트_코튼플럼.png,1,192,88,99,100.00%
데이지크_프루티립잼_감귤잼.png,1,217,89,79,75.60%
데이지크_프루티립잼_감귤잼.png,2,220,116,102,24.39%
데이지크_프루티립잼_감귤잼.png,3,210,63,64,0.01%
데이지크_프루티립잼_딸기잼.png,1,235,105,137,89.33%
데이지크_프루티립잼_딸기잼.png,2,232,94,125,10.67%
데이지크_프루티립잼_라즈베리잼.png,1,236,113,129,100.00%
데이지크_프루티립잼_리치잼.png,1,175,94,105,64.12%
데이지크_프루티립잼_리치잼.png,2,159,86,96,35.61%
데이지크_프루티립잼_리치잼.png,3,181,122,129,0.28%
데이지크_프루티립잼_무화과잼.png,1,198,91,99,100.00%
데이지크_프루티립잼_복숭아잼.png,1,240,158,156,75.50%
데이지크_프루티립잼_복숭아잼.png,2,239,152,154,24.50%
데이지크_프루티립잼_애프리콧잼.png,1,240,159,135,99.84%
데이지크_프루티립잼_애프리콧잼.png,2,241,161,142,0.16%
데이지크_프루티립잼_애플잼.png,1,218,55,69,99.98%
데이지크_프루티립잼_애플잼.png,2,207,47,65,0.02%
데이지크_프루티립잼_자두잼.png,1,232,77,123,94.68%
데이지크_프루티립잼_자두잼.png,2,235,99,139,5.32%
데이지크_프루티립잼_쥬쥬브잼.png,1,172,102,99,100.00%
데이지크_프루티립잼_체리잼.png,1,233,75,97,100.00%
데이지크_프루티립잼_캐슈넛잼.png,1,179,119,104,95.54%
데이지크_프루티립잼_캐슈넛잼.png,2,176,115,101,4.46%
데이지크_프루티립잼_크랜베리잼.png,1,132,66,65,65.62%
데이지크_프루티립잼_크랜베리잼.png,2,131,65,66,34.38%
딘토_브론테멜팅글로우립밤_곤달.png,1,200,72,71,100.00%
딘토_브론테멜팅글로우립밤_브랜웰.png,1,176,106,108,100.00%
딘토_브론테멜팅글로우립밤_빌레트.png,1,229,123,109,100.00%
딘토_브론테멜팅글로우립밤_샬롯.png,1,219,138,144,100.00%
