File Name,color,Color Index,Red,Green,Blue,Max Proportion,HEX,Price,formulation,date,saturation,lightness,tone
네이처리퍼블릭_허니멜팅립_석류듬뿍,,1,222,67,62,88.07%,#de433e,"14,000",글로시,12,72,56,strong
네이처리퍼블릭_허니멜팅립_여리베리,,1,210,83,98,91.93%,#d25362,"14,000",글로시,12,60,57,strong
네이처리퍼블릭_허니멜팅립_잘익은자두,,1,143,62,53,100.00%,#8f3e35,"14,000",글로시,12,63,38,deep
네이처리퍼블릭_허니멜팅립_쫀득복숭아,,1,239,127,116,100.00%,#ef7f74,"14,000",글로시,12,51,70,bright
네이처리퍼블릭_허니멜팅립_탱글포도,,1,180,48,98,100.00%,#b43062,"14,000",글로시,12,73,45,strong
누즈_무스립추얼_러비코랄,,1,174,55,62,100.00%,#ae373e,"17,000",워터블러,38,68,45,strong
누즈_무스립추얼_모브레인,,1,132,64,72,100.00%,#844048,"17,000",워터블러,38,52,38,deep
누즈_무스립추얼_무스비레드,,1,152,48,56,100.00%,#983038,"17,000",워터블러,38,68,39,deep
누즈_무스립추얼_베어베이지,,1,133,59,61,83.12%,#853b3d,"17,000",워터블러,38,56,38,deep
누즈_무스립추얼_키치핑크,,1,190,76,90,99.94%,#be4c5a,"17,000",워터블러,38,60,52,strong
누즈_무스립추얼_플럼미,,1,107,27,39,96.91%,#6b1b27,"17,000",워터블러,38,75,26,vivid
누즈_컬러케어립밤_모브무브,,1,155,57,58,91.87%,#9b393a,"15,000",글로시,65,63,42,deep
누즈_컬러케어립밤_쏘레드,,1,172,26,47,98.55%,#ac1a2f,"15,000",글로시,65,85,39,vivid
누즈_컬러케어립밤_카밍코랄,,1,252,59,43,100.00%,#fc3b2b,"15,000",글로시,65,83,58,vivid
누즈_컬러케어립밤_프렌치누드,,1,151,58,50,100.00%,#973a32,"15,000",글로시,65,67,39,deep
누즈_컬러케어립밤_헤이우디,,1,158,41,50,63.31%,#9e2932,"15,000",글로시,65,74,39,deep
누즈_케어립추얼_디핀체리,,1,174,63,104,100.00%,#ae3f68,"17,000",글로시,66,64,46,strong
누즈_케어립추얼_레디쉬허,,1,154,65,74,100.00%,#9a414a,"17,000",글로시,66,58,43,deep
누즈_케어립추얼_몰튼피넛,,1,156,80,82,93.54%,#9c5052,"17,000",글로시,66,49,46,dull
누즈_케어립추얼_바이선셋,,1,150,64,69,100.00%,#964045,"17,000",글로시,66,57,42,deep
누즈_케어립추얼_쿨리쉬,,1,161,67,95,100.00%,#a1435f,"17,000",글로시,66,58,45,strong
누즈_케어립추얼_쿨베이브,,1,171,90,113,84.09%,#ab5a71,"17,000",글로시,66,47,51,dull
누즈_케어립추얼_탠드아워,,1,164,81,95,100.00%,#a4515f,"17,000",글로시,66,51,48,strong
누즈_케어립추얼_포지로지,,1,154,68,71,94.11%,#9a4447,"17,000",글로시,66,56,44,deep
누즈_케어립추얼_핀베리,,1,131,51,67,99.95%,#833343,"17,000",글로시,66,61,36,deep
더샘_새미스시럽샷멜팅밤_그레이프잼,,1,157,81,92,100.00%,#9d515c,"16,000",글로시,40,48,47,dull
더샘_새미스시럽샷멜팅밤_누가피넛,,1,224,160,121,100.00%,#e0a079,"16,000",글로시,40,46,68,soft
더샘_새미스시럽샷멜팅밤_애플샤워,,1,221,82,97,100.00%,#dd5261,"16,000",글로시,40,63,59,strong
더샘_새미스시럽샷멜팅밤_피그뮬리,,1,192,81,80,100.00%,#c05150,"16,000",글로시,40,58,53,strong
더샘_새미스시럽샷멜팅밤_피치콧,,1,237,133,115,100.00%,#ed8573,"16,000",글로시,40,51,69,bright
더샘_새미스에이드샷틴트_로즈히비스커스,,1,186,53,63,99.01%,#ba353f,"12,000",글로시,41,72,47,strong
더샘_새미스에이드샷틴트_리치캐모마일,,1,235,79,117,100.00%,#eb4f75,"12,000",글로시,41,66,62,strong
더샘_새미스에이드샷틴트_바이올렛진,,1,181,83,112,76.53%,#b55370,"12,000",글로시,41,54,52,strong
더샘_새미스에이드샷틴트_애플시나몬,,1,178,73,72,66.84%,#b24948,"12,000",글로시,41,60,49,strong
더샘_새미스에이드샷틴트_자몽허니,,1,227,85,74,100.00%,#e3554a,"12,000",글로시,41,67,59,strong
더샘_새미스에이드샷틴트_피치우롱,,1,220,70,84,100.00%,#dc4654,"12,000",글로시,41,68,57,strong
데이지크_멜팅캔디밤_누디피그,,1,242,99,111,98.24%,#f2636f,"14,000",글로시,51,59,67,bright
데이지크_멜팅캔디밤_로즈밀크티,,1,213,91,89,100.00%,#d55b59,"14,000",글로시,51,58,59,strong
데이지크_멜팅캔디밤_리치크림,,1,234,102,98,92.79%,#ea6662,"14,000",글로시,51,58,65,bright
데이지크_멜팅캔디밤_슈가플럼,,1,235,73,106,100.00%,#eb496a,"14,000",글로시,51,69,60,strong
데이지크_멜팅캔디밤_스윗포멜로,,1,253,97,89,86.11%,#fd6159,"14,000",글로시,51,65,67,bright
데이지크_멜팅캔디밤_애플시나몬,,1,212,74,61,100.00%,#d44a3d,"14,000",글로시,51,71,54,strong
데이지크_멜팅캔디밤_젠틀피치,,1,241,102,88,93.56%,#f16658,"14,000",글로시,51,63,65,bright
데이지크_멜팅캔디밤_체리피즈,,1,251,85,122,89.99%,#fb557a,"14,000",글로시,51,66,66,bright
데이지크_멜팅캔디밤_캔디소다,,1,255,81,106,100.00%,#ff516a,"14,000",글로시,51,68,66,bright
데이지크_멜팅캔디밤_크랜베리휩,,1,233,71,103,100.00%,#e94767,"14,000",글로시,51,70,60,strong
데이지크_무드글로우립스틱_누드펌킨,,1,214,110,92,94.98%,#d66e5c,"17,000",글로시,136,57,60,strong
데이지크_무드글로우립스틱_로즈힙,,1,219,105,101,72.10%,#db6965,"17,000",글로시,136,54,63,strong
데이지크_무드글로우립스틱_멜로우코랄,,1,236,116,106,99.41%,#ec746a,"17,000",글로시,136,55,67,bright
데이지크_무드글로우립스틱_베이비살몬,,1,238,153,136,99.51%,#ee9988,"17,000",글로시,136,43,73,soft
데이지크_무드글로우립스틱_체리드롭,,1,228,78,86,96.99%,#e44e56,"17,000",글로시,136,66,60,strong
데이지크_무드글로우립스틱_크림샌드,,1,214,116,106,84.23%,#d6746a,"17,000",글로시,136,50,63,strong
데이지크_무드글로우립스틱_피치스,,1,219,99,81,92.84%,#db6351,"17,000",글로시,136,63,59,strong
데이지크_무드글로우립스틱_핑크베리,,1,232,113,136,99.20%,#e87188,"17,000",글로시,136,51,68,bright
데이지크_워터블러틴트_라벤더크림,,1,190,91,118,100.00%,#be5b76,"17,000",워터블러,127,52,55,strong
데이지크_워터블러틴트_로지코랄,,1,205,101,102,94.74%,#cd6566,"17,000",워터블러,127,51,60,strong
