File Name,Color Index,Red,Green,Blue,Max Proportion,HEX,PCCS
라카_젤링누드글로스_엔젤링.png,1,204,129,136,100.00%,#cc8188,RPB
라카_젤링누드글로스_포도링.png,1,197,97,113,99.66%,#c56171,RPB
라카_젤링누드글로스_피그링.png,1,164,89,83,92.68%,#a45953,
라카_프루티글램틴트_듀이.png,1,150,62,83,100.00%,#963e53,
라카_프루티글램틴트_어도어.png,1,214,67,108,100.00%,#d6436c,RPB
라카_프루티글램틴트_엔비.png,1,89,6,22,100.00%,#590616,
라카_프루티글램틴트_조이풀.png,1,216,90,96,100.00%,#d85a60,
라카_프루티글램틴트_체리.png,1,124,20,23,96.79%,#7c1417,
라카_프루티글램틴트_카페인로즈.png,1,79,11,6,100.00%,#4f0b06,
라카_프루티글램틴트_캔디드.png,1,154,3,12,97.59%,#9a030c,
라카_프루티글램틴트_콜드.png,1,218,74,133,100.00%,#da4a85,RPB
레미유_듀이플로우틴트_다운로즈.png,1,165,76,75,100.00%,#a54c4b,
레미유_듀이플로우틴트_뮤트코랄.png,1,172,99,79,77.09%,#ac634f,
레미유_듀이플로우틴트_브링러브.png,1,194,48,93,100.00%,#c2305d,
레미유_듀이플로우틴트_슈어쉬어.png,1,207,120,148,100.00%,#cf7894,RPB
레미유_듀이플로우틴트_츄잇추.png,1,210,60,38,72.06%,#d23c26,
레미유_듀이플로우틴트_칠링모브.png,1,139,70,84,100.00%,#8b4654,
레미유_듀이플로우틴트_쿠키드롭.png,1,142,34,25,100.00%,#8e2219,
레미유_듀이플로우틴트_플레저.png,1,160,38,63,100.00%,#a0263f,
레미유_듀이플로우틴트_피치뮬리.png,1,196,96,74,98.63%,#c4604a,
레미유_듀이플로우틴트_핑크브리즈.png,1,163,85,92,76.50%,#a3555c,
레미유_듀이플로우틴트_허니릿.png,1,230,114,89,100.00%,#e67259,R
레미유_모이스트립블러_데이드림.png,1,224,95,106,57.14%,#e05f6a,RPB
레미유_모이스트립블러_로즐리.png,1,199,77,87,90.43%,#c74d57,
레미유_모이스트립블러_멜로우.png,1,233,116,107,81.06%,#e9746b,RPB
레미유_모이스트립블러_써니코랄.png,1,222,89,82,98.16%,#de5952,
레미유_모이스트립블러_어도러블.png,1,237,124,129,100.00%,#ed7c81,
